time,lat,lon,ele
2024-07-28T15:03:35.000Z,47.557680420577526092529296875,-3.05075283162295818328857421875,0.20000000298023223876953125
2024-07-28T15:03:42.000Z,47.5580051355063915252685546875,-3.05077160708606243133544921875,0.20000000298023223876953125
2024-07-28T15:03:49.000Z,47.55832339636981487274169921875,-3.05082374252378940582275390625,0
2024-07-28T15:03:51.000Z,47.558409981429576873779296875,-3.0508322082459926605224609375,-0.20000000298023223876953125
2024-07-28T15:03:56.000Z,47.55863335914909839630126953125,-3.05085492320358753204345703125,0
2024-07-28T15:04:01.000Z,47.55883100442588329315185546875,-3.05089834146201610565185546875,0
2024-07-28T15:04:03.000Z,47.5589050166308879852294921875,-3.0509146861732006072998046875,0
2024-07-28T15:04:04.000Z,47.55894005298614501953125,-3.050919212400913238525390625,-0.20000000298023223876953125
2024-07-28T15:04:11.000Z,47.55915001966059207916259765625,-3.05096137337386608123779296875,-0.20000000298023223876953125
2024-07-28T15:04:12.000Z,47.55917147733271121978759765625,-3.0509656481444835662841796875,-0.20000000298023223876953125
2024-07-28T15:04:20.000Z,47.55941438488662242889404296875,-3.05101887322962284088134765625,-0.20000000298023223876953125
2024-07-28T15:04:21.000Z,47.559439949691295623779296875,-3.05102943442761898040771484375,-0.20000000298023223876953125
2024-07-28T15:04:26.000Z,47.5595762394368648529052734375,-3.051075451076030731201171875,-0.20000000298023223876953125
2024-07-28T15:04:33.000Z,47.55977598018944263458251953125,-3.05114560760557651519775390625,-0.20000000298023223876953125
2024-07-28T15:04:34.000Z,47.55979903042316436767578125,-3.05115046910941600799560546875,-0.20000000298023223876953125
2024-07-28T15:04:43.000Z,47.5600271858274936676025390625,-3.0512506328523159027099609375,-0.20000000298023223876953125
2024-07-28T15:04:44.000Z,47.56005375646054744720458984375,-3.0512581765651702880859375,-0.4000000059604644775390625
2024-07-28T15:04:54.000Z,47.56032700650393962860107421875,-3.05140863172709941864013671875,-0.4000000059604644775390625
2024-07-28T15:05:06.000Z,47.56067812442779541015625,-3.05160979740321636199951171875,-0.4000000059604644775390625
